Artist/Band Name,Country of Origin,Gender,Genre(s),"Band, Solo, or Duo?"
Kendrick Lamar,United States,Male,Hip-Hop,Solo
"Tyler, The Creator",United States,Male,Hip-Hop,Solo
Lil Wayne,United States,Male,Hip-Hop,Solo
Nas,United States,Male,Hip-Hop,Solo
OutKast,United States,Male,Hip-Hop,Duo
A$AP Rocky,United States,Male,Hip-Hop,Solo
Ms. Lauryn Hill,United States,Female,Hip-Hop,Solo
Pink Floyd,United Kingdom,Male,Rock,Band
Radiohead,United Kingdom,Male,Rock,Band
Nirvana,United States,Male,Rock,Band
Arctic Monkeys,United Kingdom,Male,Rock,Band
The Beatles,United Kingdom,Male,Rock,Band
The Weeknd,Canada,Male,Pop,Solo
Michael Jackson,United States,Male,Pop,Solo
Rihanna,Barbados,Female,Pop,Solo
Frank Ocean,United States,Male,R&B,Solo
Stevie Wonder,United States,Male,R&B,Solo
Daniel Caesar,United States,Male,R&B,Solo
Sampha,United Kingdom,Male,R&B,Solo
Laufey,Iceland,Female,Jazz,Solo
Tame Impala,Australia,Male,Psychedelic Rock,Solo
Daft Punk,France,Male,Electronic,Duo
Lana Del Rey,United States,Female,Pop,Solo
2Pac,United States,Male,Hip-Hop,Solo
Dr. Dre,United States,Male,Hip-Hop,Solo
The Notorious B.I.G,United States,Male,Hip-Hop,Solo
Drake,Canada,Male,Hip-Hop,Solo
Jay-Z,United States,Male,Hip-Hop,Solo
Kanye West,United States,Male,Hip-Hop,Solo
Billie Eillish,United States,Female,Pop,Solo
Brittney Spears,United States,Female,Pop,Solo
Adele,United Kingdom,Female,Pop,Solo
Taylor Swift,United States,Female,Pop,Solo
Clairo,United States,Female,Indie,Solo
